X,Y,FID
618703.94,3672705.37,453
618703.94,3671705.37,454
618703.94,3670705.37,455
618703.94,3669705.37,456
618703.94,3668705.37,457
618703.94,3667705.37,458
618703.94,3666705.37,459
618703.94,3665705.37,460
618703.94,3664705.37,461
618703.94,3663705.37,462
618703.94,3662705.37,463
618703.94,3661705.37,464
618703.94,3660705.37,465
618703.94,3659705.37,466
618703.94,3658705.37,467
618703.94,3657705.37,468
618703.94,3656705.37,469
618703.94,3655705.37,470
618703.94,3654705.37,471
618703.94,3653705.37,472
618703.94,3652705.37,473
618703.94,3651705.37,474
618703.94,3650705.37,475
618703.94,3649705.37,476
618703.94,3648705.37,477
618703.94,3647705.37,478
618703.94,3646705.37,479
618703.94,3645705.37,480
618703.94,3644705.37,481
618703.94,3643705.37,482
618703.94,3642705.37,483
618703.94,3641705.37,484
618703.94,3640705.37,485
618703.94,3639705.37,486
618703.94,3638705.37,487
618703.94,3637705.37,488
618703.94,3636705.37,489
618703.94,3635705.37,490
618703.94,3634705.37,491
618703.94,3633705.37,492
618703.94,3632705.37,493
618703.94,3631705.37,494
618703.94,3630705.37,495
618703.94,3629705.37,496
618703.94,3628705.37,497
618703.94,3627705.37,498
618703.94,3626705.37,499
618703.94,3625705.37,500
618703.94,3624705.37,501
618703.94,3623705.37,502
618703.94,3622705.37,503
618703.94,3621705.37,504
618703.94,3620705.37,505
618703.94,3619705.37,506
618703.94,3618705.37,507
618703.94,3617705.37,508
618703.94,3616705.37,509
618703.94,3615705.37,510
618703.94,3614705.37,511
618703.94,3613705.37,512
618703.94,3612705.37,513
618703.94,3611705.37,514
618703.94,3610705.37,515
618703.94,3609705.37,516
618703.94,3608705.37,517
618703.94,3607705.37,518
618703.94,3606705.37,519
618703.94,3605705.37,520
618703.94,3604705.37,521
618703.94,3603705.37,522
618703.94,3602705.37,523
618703.94,3601705.37,524
618703.94,3600705.37,525
618703.94,3599705.37,526
618703.94,3598705.37,527
618703.94,3597705.37,528
618703.94,3596705.37,529
618703.94,3595705.37,530
618703.94,3594705.37,531
618703.94,3593705.37,532
618703.94,3592705.37,533
618703.94,3591705.37,534
618703.94,3590705.37,535
618703.94,3589705.37,536
618703.94,3588705.37,537
618703.94,3587705.37,538
618703.94,3586705.37,539
618703.94,3585705.37,540
618703.94,3584705.37,541
618703.94,3583705.37,542
618703.94,3582705.37,543
618703.94,3581705.37,544
618703.94,3580705.37,545
618703.94,3579705.37,546
618703.94,3578705.37,547
618703.94,3577705.37,548
618703.94,3576705.37,549
618703.94,3575705.37,550
618703.94,3574705.37,551
618703.94,3573705.37,552
618703.94,3572705.37,553
618703.94,3571705.37,554
618703.94,3570705.37,555
618703.94,3569705.37,556
618703.94,3568705.37,557
618703.94,3567705.37,558
618703.94,3566705.37,559
618703.94,3565705.37,560
618703.94,3564705.37,561
618703.94,3563705.37,562
618703.94,3562705.37,563
618703.94,3561705.37,564
618703.94,3560705.37,565
618703.94,3559705.37,566
618703.94,3558705.37,567
618703.94,3557705.37,568
618703.94,3556705.37,569
618703.94,3555705.37,570
618703.94,3554705.37,571
618703.94,3553705.37,572
618703.94,3552705.37,573
618703.94,3551705.37,574
618703.94,3550705.37,575
618703.94,3549705.37,576
618703.94,3548705.37,577
618703.94,3547705.37,578
618703.94,3546705.37,579
618703.94,3545705.37,580
618703.94,3544705.37,581
618703.94,3543705.37,582
618703.94,3542705.37,583
618703.94,3541705.37,584
618703.94,3540705.37,585
618703.94,3539705.37,586
618703.94,3538705.37,587
618703.94,3537705.37,588
618703.94,3536705.37,589
618703.94,3535705.37,590
618703.94,3534705.37,591
618703.94,3533705.37,592
618703.94,3532705.37,593
618703.94,3531705.37,594
618703.94,3530705.37,595
618703.94,3529705.37,596
618703.94,3528705.37,597
618703.94,3527705.37,598
618703.94,3526705.37,599
618703.94,3525705.37,600
618703.94,3524705.37,601
618703.94,3523705.37,602
618703.94,3522705.37,603
618703.94,3521705.37,604
618703.94,3520705.37,605
618703.94,3519705.37,606
618703.94,3518705.37,607
618703.94,3517705.37,608
618703.94,3516705.37,609
618703.94,3515705.37,610
618703.94,3514705.37,611
618703.94,3513705.37,612
618703.94,3512705.37,613
618703.94,3511705.37,614
618703.94,3510705.37,615
618703.94,3509705.37,616
618703.94,3508705.37,617
618703.94,3507705.37,618
618703.94,3506705.37,619
618703.94,3505705.37,620
618703.94,3504705.37,621
618703.94,3503705.37,622
618703.94,3502705.37,623
618703.94,3501705.37,624
618703.94,3500705.37,625
618703.94,3499705.37,626
618703.94,3498705.37,627
618703.94,3497705.37,628
618703.94,3496705.37,629
618703.94,3495705.37,630
618703.94,3494705.37,631
618703.94,3493705.37,632
618703.94,3492705.37,633
618703.94,3491705.37,634
618703.94,3490705.37,635
618703.94,3489705.37,636
618703.94,3488705.37,637
618703.94,3487705.37,638
618703.94,3486705.37,639
618703.94,3485705.37,640
618703.94,3484705.37,641
618703.94,3483705.37,642
618703.94,3482705.37,643
618703.94,3481705.37,644
618703.94,3480705.37,645
618703.94,3479705.37,646
618703.94,3478705.37,647
618703.94,3477705.37,648
618703.94,3476705.37,649
618703.94,3475705.37,650
618703.94,3474705.37,651
618703.94,3473705.37,652
618703.94,3472705.37,653
618703.94,3471705.37,654
618703.94,3470705.37,655
618703.94,3469705.37,656
618703.94,3468705.37,657
618703.94,3467705.37,658
618703.94,3466705.37,659
618703.94,3465705.37,660
618703.94,3464705.37,661
618703.94,3463705.37,662
618703.94,3462705.37,663
618703.94,3461705.37,664
618703.94,3460705.37,665
618703.94,3459705.37,666
618703.94,3458705.37,667
618703.94,3457705.37,668
618703.94,3456705.37,669
618703.94,3455705.37,670
618703.94,3454705.37,671
618703.94,3453705.37,672
618703.94,3452705.37,673
618703.94,3451705.37,674
618703.94,3450705.37,675
618703.94,3449705.37,676
618703.94,3448705.37,677
618703.94,3447705.37,678
618703.94,3446705.37,679
618703.94,3445705.37,680
618703.94,3444705.37,681
618703.94,3443705.37,682
618703.94,3442705.37,683
618703.94,3441705.37,684
618703.94,3440705.37,685
618703.94,3439705.37,686
618703.94,3438705.37,687
618703.94,3437705.37,688
618703.94,3436705.37,689
618703.94,3435705.37,690
618703.94,3434705.37,691
618703.94,3433705.37,692
618703.94,3432705.37,693
618703.94,3431705.37,694
618703.94,3430705.37,695
618703.94,3429705.37,696
618703.94,3428705.37,697
618703.94,3427705.37,698
618703.94,3426705.37,699
618703.94,3425705.37,700
618703.94,3424705.37,701
618703.94,3423705.37,702
618703.94,3422705.37,703
618703.94,3421705.37,704
618703.94,3420705.37,705
618703.94,3419705.37,706
618703.94,3418705.37,707
618703.94,3417705.37,708
618703.94,3416705.37,709
618703.94,3415705.37,710
618703.94,3414705.37,711
618703.94,3413705.37,712
618703.94,3412705.37,713
618703.94,3411705.37,714
618703.94,3410705.37,715
618703.94,3409705.37,716
618703.94,3408705.37,717
618703.94,3407705.37,718
618703.94,3406705.37,719
618703.94,3405705.37,720
618703.94,3404705.37,721
618703.94,3403705.37,722
618703.94,3402705.37,723
618703.94,3401705.37,724
618703.94,3400705.37,725
618703.94,3399705.37,726
618703.94,3398705.37,727
618703.94,3397705.37,728
618703.94,3396705.37,729
618703.94,3395705.37,730
618703.94,3394705.37,731
618703.94,3393705.37,732
618703.94,3392705.37,733
618703.94,3391705.37,734
618703.94,3390705.37,735
618703.94,3389705.37,736
618703.94,3388705.37,737
618703.94,3387705.37,738
618703.94,3386705.37,739
618703.94,3385705.37,740
618703.94,3384705.37,741
618703.94,3383705.37,742
618703.94,3382705.37,743
618703.94,3381705.37,744
618703.94,3380705.37,745
618703.94,3379705.37,746
618703.94,3378705.37,747
618703.94,3377705.37,748
618703.94,3376705.37,749
618703.94,3375705.37,750
618703.94,3374705.37,751
618703.94,3373705.37,752
618703.94,3372705.37,753
618703.94,3371705.37,754
618703.94,3370705.37,755
618703.94,3369705.37,756
618703.94,3368705.37,757
618703.94,3367705.37,758
618703.94,3366705.37,759
618703.94,3365705.37,760
618703.94,3364705.37,761
618703.94,3363705.37,762
618703.94,3362705.37,763
618703.94,3361705.37,764
618703.94,3360705.37,765
618703.94,3359705.37,766
618703.94,3358705.37,767
618703.94,3357705.37,768
618703.94,3356705.37,769
618703.94,3355705.37,770
618703.94,3354705.37,771
618703.94,3353705.37,772
618703.94,3352705.37,773
618703.94,3351705.37,774
618703.94,3350705.37,775
618703.94,3349705.37,776
618703.94,3348705.37,777
618703.94,3347705.37,778
618703.94,3346705.37,779
618703.94,3345705.37,780
618703.94,3344705.37,781
618703.94,3343705.37,782
618703.94,3342705.37,783
618703.94,3341705.37,784
618703.94,3340705.37,785
618703.94,3339705.37,786
618703.94,3338705.37,787
618703.94,3337705.37,788
618703.94,3336705.37,789
618703.94,3335705.37,790
618703.94,3334705.37,791
618703.94,3333705.37,792
618703.94,3332705.37,793
618703.94,3331705.37,794
618703.94,3330705.37,795
618703.94,3329705.37,796
618703.94,3328705.37,797
618703.94,3327705.37,798
618703.94,3326705.37,799
618703.94,3325705.37,800
618703.94,3324705.37,801
618703.94,3323705.37,802
618703.94,3322705.37,803
618703.94,3321705.37,804
618703.94,3320705.37,805
618703.94,3319705.37,806
618703.94,3318705.37,807
618703.94,3317705.37,808
618703.94,3316705.37,809
618703.94,3315705.37,810
618703.94,3314705.37,811
618703.94,3313705.37,812
618703.94,3312705.37,813
618703.94,3311705.37,814
618703.94,3310705.37,815
618703.94,3309705.37,816
618703.94,3308705.37,817
618703.94,3307705.37,818
618703.94,3306705.37,819
618703.94,3305705.37,820
618703.94,3304705.37,821
618703.94,3303705.37,822
618703.94,3302705.37,823
618703.94,3301705.37,824
618703.94,3300705.37,825
618703.94,3299705.37,826
618703.94,3298705.37,827
618703.94,3297705.37,828
618703.94,3296705.37,829
618703.94,3295705.37,830
618703.94,3294705.37,831
618703.94,3293705.37,832
618703.94,3292705.37,833
618703.94,3291705.37,834
618703.94,3290705.37,835
618703.94,3289705.37,836
618703.94,3288705.37,837
618703.94,3287705.37,838
618703.94,3286705.37,839
618703.94,3285705.37,840
618703.94,3284705.37,841
619703.94,3704705.37,842
619703.94,3703705.37,843
619703.94,3702705.37,844
619703.94,3701705.37,845
619703.94,3700705.37,846
619703.94,3699705.37,847
619703.94,3698705.37,848
619703.94,3697705.37,849
619703.94,3696705.37,850
619703.94,3695705.37,851
619703.94,3694705.37,852
619703.94,3693705.37,853
619703.94,3692705.37,854
619703.94,3691705.37,855
619703.94,3690705.37,856
619703.94,3689705.37,857
619703.94,3688705.37,858
619703.94,3687705.37,859
619703.94,3686705.37,860
619703.94,3685705.37,861
619703.94,3684705.37,862
619703.94,3683705.37,863
619703.94,3682705.37,864
619703.94,3681705.37,865
619703.94,3680705.37,866
619703.94,3679705.37,867
619703.94,3678705.37,868
619703.94,3677705.37,869
619703.94,3676705.37,870
619703.94,3675705.37,871
619703.94,3674705.37,872
619703.94,3673705.37,873
619703.94,3672705.37,874
619703.94,3671705.37,875
619703.94,3670705.37,876
619703.94,3669705.37,877
619703.94,3668705.37,878
619703.94,3667705.37,879
619703.94,3666705.37,880
619703.94,3665705.37,881
619703.94,3664705.37,882
619703.94,3663705.37,883
619703.94,3662705.37,884
619703.94,3661705.37,885
619703.94,3660705.37,886
619703.94,3659705.37,887
619703.94,3658705.37,888
619703.94,3657705.37,889
619703.94,3656705.37,890
619703.94,3655705.37,891
619703.94,3654705.37,892
619703.94,3653705.37,893
619703.94,3652705.37,894
619703.94,3651705.37,895
619703.94,3650705.37,896
619703.94,3649705.37,897
619703.94,3648705.37,898
619703.94,3647705.37,899
619703.94,3646705.37,900
619703.94,3645705.37,901
619703.94,3644705.37,902
619703.94,3643705.37,903
619703.94,3642705.37,904
619703.94,3641705.37,905
619703.94,3640705.37,906
619703.94,3639705.37,907
619703.94,3638705.37,908
619703.94,3637705.37,909
619703.94,3636705.37,910
619703.94,3635705.37,911
619703.94,3634705.37,912
619703.94,3633705.37,913
619703.94,3632705.37,914
619703.94,3631705.37,915
619703.94,3630705.37,916
619703.94,3629705.37,917
619703.94,3628705.37,918
619703.94,3627705.37,919
619703.94,3626705.37,920
619703.94,3625705.37,921
619703.94,3624705.37,922
619703.94,3623705.37,923
619703.94,3622705.37,924
619703.94,3621705.37,925
619703.94,3620705.37,926
619703.94,3619705.37,927
619703.94,3618705.37,928
619703.94,3617705.37,929
619703.94,3616705.37,930
619703.94,3615705.37,931
619703.94,3614705.37,932
619703.94,3613705.37,933
619703.94,3612705.37,934
619703.94,3611705.37,935
619703.94,3610705.37,936
619703.94,3609705.37,937
619703.94,3608705.37,938
619703.94,3607705.37,939
619703.94,3606705.37,940
619703.94,3605705.37,941
619703.94,3604705.37,942
619703.94,3603705.37,943
619703.94,3602705.37,944
619703.94,3601705.37,945
619703.94,3600705.37,946
619703.94,3599705.37,947
619703.94,3598705.37,948
619703.94,3597705.37,949
619703.94,3596705.37,950
619703.94,3595705.37,951
619703.94,3594705.37,952
619703.94,3593705.37,953
619703.94,3592705.37,954
619703.94,3591705.37,955
619703.94,3590705.37,956
619703.94,3589705.37,957
619703.94,3588705.37,958
619703.94,3587705.37,959
619703.94,3586705.37,960
619703.94,3585705.37,961
619703.94,3584705.37,962
619703.94,3583705.37,963
619703.94,3582705.37,964
619703.94,3581705.37,965
619703.94,3580705.37,966
619703.94,3579705.37,967
619703.94,3578705.37,968
619703.94,3577705.37,969
619703.94,3576705.37,970
619703.94,3575705.37,971
619703.94,3574705.37,972
619703.94,3573705.37,973
619703.94,3572705.37,974
619703.94,3571705.37,975
619703.94,3570705.37,976
619703.94,3569705.37,977
619703.94,3568705.37,978
619703.94,3567705.37,979
619703.94,3566705.37,980
619703.94,3565705.37,981
619703.94,3564705.37,982
619703.94,3563705.37,983
