X,Y,FID
667916.992539751,3627239.07425654,182
667916.992539751,3617239.07425654,183
667916.992539751,3607239.07425654,184
667916.992539751,3597239.07425654,185
667916.992539751,3587239.07425654,186
667916.992539751,3577239.07425654,187
667916.992539751,3567239.07425654,188
667916.992539751,3557239.07425654,189
667916.992539751,3547239.07425654,190
667916.992539751,3537239.07425654,191
667916.992539751,3527239.07425654,192
667916.992539751,3517239.07425654,193
667916.992539751,3507239.07425654,194
667916.992539751,3497239.07425654,195
667916.992539751,3487239.07425654,196
667916.992539751,3477239.07425654,197
667916.992539751,3467239.07425654,198
667916.992539751,3457239.07425654,199
667916.992539751,3447239.07425654,200
667916.992539751,3437239.07425654,201
667916.992539751,3427239.07425654,202
667916.992539751,3417239.07425654,203
667916.992539751,3407239.07425654,204
667916.992539751,3397239.07425654,205
667916.992539751,3387239.07425654,206
667916.992539751,3377239.07425654,207
667916.992539751,3367239.07425654,208
667916.992539751,3357239.07425654,209
667916.992539751,3347239.07425654,210
667916.992539751,3337239.07425654,211
667916.992539751,3327239.07425654,212
667916.992539751,3317239.07425654,213
667916.992539751,3307239.07425654,214
667916.992539751,3297239.07425654,215
667916.992539751,3287239.07425654,216
667916.992539751,3277239.07425654,217
667916.992539751,3267239.07425654,218
667916.992539751,3257239.07425654,219
677916.992539751,3687239.07425654,220
677916.992539751,3677239.07425654,221
677916.992539751,3667239.07425654,222
677916.992539751,3657239.07425654,223
677916.992539751,3647239.07425654,224
677916.992539751,3637239.07425654,225
677916.992539751,3627239.07425654,226
677916.992539751,3617239.07425654,227
677916.992539751,3607239.07425654,228
677916.992539751,3597239.07425654,229
677916.992539751,3587239.07425654,230
677916.992539751,3577239.07425654,231
677916.992539751,3567239.07425654,232
677916.992539751,3557239.07425654,233
677916.992539751,3547239.07425654,234
677916.992539751,3537239.07425654,235
677916.992539751,3527239.07425654,236
677916.992539751,3517239.07425654,237
677916.992539751,3507239.07425654,238
677916.992539751,3497239.07425654,239
677916.992539751,3487239.07425654,240
677916.992539751,3477239.07425654,241
677916.992539751,3467239.07425654,242
677916.992539751,3457239.07425654,243
677916.992539751,3447239.07425654,244
677916.992539751,3437239.07425654,245
677916.992539751,3427239.07425654,246
677916.992539751,3417239.07425654,247
677916.992539751,3407239.07425654,248
677916.992539751,3397239.07425654,249
677916.992539751,3387239.07425654,250
677916.992539751,3377239.07425654,251
677916.992539751,3367239.07425654,252
677916.992539751,3357239.07425654,253
677916.992539751,3347239.07425654,254
677916.992539751,3337239.07425654,255
677916.992539751,3327239.07425654,256
677916.992539751,3317239.07425654,257
677916.992539751,3307239.07425654,258
677916.992539751,3297239.07425654,259
677916.992539751,3287239.07425654,260
677916.992539751,3277239.07425654,261
677916.992539751,3267239.07425654,262
677916.992539751,3257239.07425654,263
687916.992539751,3687239.07425654,264
687916.992539751,3677239.07425654,265
687916.992539751,3667239.07425654,266
687916.992539751,3657239.07425654,267
687916.992539751,3647239.07425654,268
687916.992539751,3637239.07425654,269
687916.992539751,3627239.07425654,270
687916.992539751,3617239.07425654,271
687916.992539751,3607239.07425654,272
687916.992539751,3597239.07425654,273
687916.992539751,3587239.07425654,274
687916.992539751,3577239.07425654,275
687916.992539751,3567239.07425654,276
687916.992539751,3557239.07425654,277
687916.992539751,3547239.07425654,278
687916.992539751,3537239.07425654,279
687916.992539751,3527239.07425654,280
687916.992539751,3517239.07425654,281
687916.992539751,3507239.07425654,282
687916.992539751,3497239.07425654,283
687916.992539751,3487239.07425654,284
687916.992539751,3477239.07425654,285
687916.992539751,3467239.07425654,286
687916.992539751,3457239.07425654,287
687916.992539751,3447239.07425654,288
687916.992539751,3437239.07425654,289
687916.992539751,3427239.07425654,290
687916.992539751,3417239.07425654,291
687916.992539751,3407239.07425654,292
687916.992539751,3397239.07425654,293
687916.992539751,3387239.07425654,294
687916.992539751,3377239.07425654,295
687916.992539751,3367239.07425654,296
687916.992539751,3357239.07425654,297
687916.992539751,3347239.07425654,298
687916.992539751,3337239.07425654,299
687916.992539751,3327239.07425654,300
687916.992539751,3317239.07425654,301
687916.992539751,3307239.07425654,302
687916.992539751,3297239.07425654,303
687916.992539751,3287239.07425654,304
687916.992539751,3277239.07425654,305
687916.992539751,3267239.07425654,306
687916.992539751,3257239.07425654,307
697916.992539751,3687239.07425654,308
697916.992539751,3677239.07425654,309
697916.992539751,3667239.07425654,310
697916.992539751,3657239.07425654,311
697916.992539751,3647239.07425654,312
697916.992539751,3637239.07425654,313
697916.992539751,3627239.07425654,314
697916.992539751,3617239.07425654,315
697916.992539751,3607239.07425654,316
697916.992539751,3597239.07425654,317
697916.992539751,3587239.07425654,318
697916.992539751,3577239.07425654,319
697916.992539751,3567239.07425654,320
697916.992539751,3557239.07425654,321
697916.992539751,3547239.07425654,322
697916.992539751,3537239.07425654,323
697916.992539751,3527239.07425654,324
697916.992539751,3517239.07425654,325
697916.992539751,3507239.07425654,326
697916.992539751,3497239.07425654,327
697916.992539751,3487239.07425654,328
697916.992539751,3477239.07425654,329
697916.992539751,3467239.07425654,330
697916.992539751,3457239.07425654,331
697916.992539751,3447239.07425654,332
697916.992539751,3437239.07425654,333
697916.992539751,3427239.07425654,334
697916.992539751,3417239.07425654,335
697916.992539751,3407239.07425654,336
697916.992539751,3397239.07425654,337
697916.992539751,3387239.07425654,338
697916.992539751,3377239.07425654,339
697916.992539751,3367239.07425654,340
697916.992539751,3357239.07425654,341
697916.992539751,3347239.07425654,342
697916.992539751,3337239.07425654,343
697916.992539751,3327239.07425654,344
697916.992539751,3317239.07425654,345
697916.992539751,3307239.07425654,346
697916.992539751,3297239.07425654,347
697916.992539751,3287239.07425654,348
697916.992539751,3277239.07425654,349
697916.992539751,3267239.07425654,350
697916.992539751,3257239.07425654,351
707916.992539751,3687239.07425654,352
707916.992539751,3677239.07425654,353
707916.992539751,3667239.07425654,354
707916.992539751,3657239.07425654,355
707916.992539751,3647239.07425654,356
707916.992539751,3637239.07425654,357
707916.992539751,3627239.07425654,358
707916.992539751,3617239.07425654,359
707916.992539751,3607239.07425654,360
707916.992539751,3597239.07425654,361
707916.992539751,3587239.07425654,362
707916.992539751,3577239.07425654,363
707916.992539751,3567239.07425654,364
707916.992539751,3557239.07425654,365
707916.992539751,3547239.07425654,366
707916.992539751,3537239.07425654,367
707916.992539751,3527239.07425654,368
707916.992539751,3517239.07425654,369
707916.992539751,3507239.07425654,370
707916.992539751,3497239.07425654,371
707916.992539751,3487239.07425654,372
707916.992539751,3477239.07425654,373
707916.992539751,3467239.07425654,374
707916.992539751,3457239.07425654,375
707916.992539751,3447239.07425654,376
707916.992539751,3437239.07425654,377
707916.992539751,3427239.07425654,378
707916.992539751,3417239.07425654,379
707916.992539751,3407239.07425654,380
707916.992539751,3397239.07425654,381
707916.992539751,3387239.07425654,382
707916.992539751,3377239.07425654,383
707916.992539751,3367239.07425654,384
707916.992539751,3357239.07425654,385
707916.992539751,3347239.07425654,386
707916.992539751,3337239.07425654,387
707916.992539751,3327239.07425654,388
707916.992539751,3317239.07425654,389
707916.992539751,3307239.07425654,390
707916.992539751,3297239.07425654,391
707916.992539751,3287239.07425654,392
707916.992539751,3277239.07425654,393
707916.992539751,3267239.07425654,394
707916.992539751,3257239.07425654,395
717916.992539751,3687239.07425654,396
717916.992539751,3677239.07425654,397
717916.992539751,3667239.07425654,398
717916.992539751,3657239.07425654,399
717916.992539751,3647239.07425654,400
717916.992539751,3637239.07425654,401
717916.992539751,3627239.07425654,402
717916.992539751,3617239.07425654,403
717916.992539751,3607239.07425654,404
717916.992539751,3597239.07425654,405
717916.992539751,3587239.07425654,406
717916.992539751,3577239.07425654,407
717916.992539751,3567239.07425654,408
717916.992539751,3557239.07425654,409
717916.992539751,3547239.07425654,410
717916.992539751,3537239.07425654,411
717916.992539751,3527239.07425654,412
717916.992539751,3517239.07425654,413
717916.992539751,3507239.07425654,414
717916.992539751,3497239.07425654,415
717916.992539751,3487239.07425654,416
717916.992539751,3477239.07425654,417
717916.992539751,3467239.07425654,418
717916.992539751,3457239.07425654,419
717916.992539751,3447239.07425654,420
717916.992539751,3437239.07425654,421
717916.992539751,3427239.07425654,422
717916.992539751,3417239.07425654,423
717916.992539751,3407239.07425654,424
717916.992539751,3397239.07425654,425
717916.992539751,3387239.07425654,426
717916.992539751,3377239.07425654,427
717916.992539751,3367239.07425654,428
717916.992539751,3357239.07425654,429
717916.992539751,3347239.07425654,430
717916.992539751,3337239.07425654,431
717916.992539751,3327239.07425654,432
717916.992539751,3317239.07425654,433
717916.992539751,3307239.07425654,434
717916.992539751,3297239.07425654,435
717916.992539751,3287239.07425654,436
717916.992539751,3277239.07425654,437
717916.992539751,3267239.07425654,438
717916.992539751,3257239.07425654,439
727916.992539751,3687239.07425654,440
727916.992539751,3677239.07425654,441
727916.992539751,3667239.07425654,442
727916.992539751,3657239.07425654,443
727916.992539751,3647239.07425654,444
727916.992539751,3637239.07425654,445
727916.992539751,3627239.07425654,446
