lat,lng,name
31.868548878,34.775085561,192
31.7783716337,34.7733604317,193
31.6881930273,34.7716430157,194
31.5980130613,34.7699332824,195
31.5078317381,34.7682312011,196
31.4176490602,34.7665367416,197
31.32746503,34.7648498737,198
31.2372796501,34.7631705675,199
31.1470929229,34.7614987932,200
31.0569048509,34.7598345214,201
30.9667154367,34.7581777225,202
30.8765246826,34.7565283676,203
30.7863325914,34.7548864276,204
30.6961391654,34.7532518738,205
30.6059444073,34.7516246776,206
30.5157483197,34.7500048105,207
30.425550905,34.7483922445,208
30.3353521658,34.7467869515,209
30.2451521048,34.7451889037,210
30.1549507246,34.7435980734,211
30.0647480277,34.7420144331,212
29.9745440168,34.7404379556,213
29.8843386945,34.7388686138,214
29.7941320635,34.7373063807,215
29.7039241263,34.7357512296,216
29.6137148857,34.7342031339,217
29.5235043444,34.7326620673,218
29.433292505,34.7311280034,219
33.3095920162,34.9111320229,220
33.2194423555,34.9091689896,221
33.1292912841,34.9072146796,222
33.0391388045,34.9052690569,223
32.9489849189,34.9033320852,224
32.8588296298,34.9014037289,225
32.7686729394,34.8994839524,226
32.6785148501,34.8975727205,227
32.5883553644,34.8956699979,228
32.4981944847,34.89377575,229
32.4080322132,34.8918899422,230
32.3178685525,34.8900125399,231
32.227703505,34.8881435092,232
32.137537073,34.8862828162,233
32.0473692591,34.8844304271,234
31.9572000656,34.8825863084,235
31.8670294951,34.8807504271,236
31.77685755,34.87892275,237
31.6866842328,34.8771032444,238
31.596509546,34.8752918777,239
31.5063334921,34.8734886175,240
31.4161560736,34.8716934318,241
31.325977293,34.8699062885,242
31.2357971528,34.8681271561,243
31.1456156557,34.8663560029,244
31.055432804,34.8645927977,245
30.9652486005,34.8628375094,246
30.8750630477,34.8610901071,247
30.7848761481,34.8593505602,248
30.6946879043,34.8576188382,249
30.604498319,34.8558949108,250
30.5143073948,34.8541787479,251
30.4241151342,34.8524703197,252
30.3339215399,34.8507695965,253
30.2437266146,34.8490765488,254
30.1535303608,34.8473911473,255
30.0633327813,34.845713363,256
29.9731338788,34.8440431669,257
29.8829336558,34.8423805304,258
29.7927321151,34.8407254248,259
29.7025292595,34.839077822,260
29.6123250915,34.8374376936,261
29.5221196139,34.8358050119,262
29.4319128296,34.8341797489,263
33.3078937336,35.0184927454,264
33.2177498562,35.0164196133,265
33.1276045566,35.0143556934,266
33.0374578372,35.0123009473,267
32.9473097003,35.010255337,268
32.8571601484,35.0082188248,269
32.767009184,35.006191373,270
32.6768568094,35.0041729445,271
32.5867030271,35.0021635022,272
32.4965478395,35.0001630093,273
32.4063912492,34.9981714294,274
32.3162332586,34.996188726,275
32.2260738701,34.9942148633,276
32.1359130863,34.9922498053,277
32.0457509096,34.9902935166,278
31.9555873427,34.9883459618,279
31.8654223879,34.9864071058,280
31.7752560478,34.9844769138,281
31.685088325,34.9825553511,282
31.5949192221,34.9806423834,283
31.5047487415,34.9787379765,284
31.4145768858,34.9768420964,285
31.3244036577,34.9749547095,286
31.2342290596,34.9730757823,287
31.1440530943,34.9712052816,288
31.0538757643,34.9693431742,289
30.9636970722,34.9674894273,290
30.8735170206,34.9656440084,291
30.7833356123,34.9638068851,292
30.6931528498,34.9619780251,293
30.6029687358,34.9601573966,294
30.5127832729,34.9583449677,295
30.4225964639,34.956540707,296
30.3324083113,34.9547445831,297
30.242218818,34.9529565648,298
30.1520279866,34.9511766213,299
